Year,Period,Value
2021,M12,2973
2021,M11,2955
2021,M10,2934
2021,M09,2917
2021,M08,2902
2021,M07,2866
2021,M06,2837
2021,M05,2820
2021,M04,2792
2021,M03,2770
2021,M02,2765
2021,M01,2749
2020,M12,2715
2020,M11,2702
2020,M10,2695
2020,M09,2698
2020,M08,2642
2020,M07,2617
2020,M06,2622
2020,M05,2610
2020,M04,2640
2020,M03,2899
2020,M02,2908
2020,M01,2901
2019,M12,2891
2019,M11,2883
2019,M10,2873
2019,M09,2872
2019,M08,2867
2019,M07,2866
2019,M06,2873
2019,M05,2854
2019,M04,2846
2019,M03,2850
2019,M02,2844
2019,M01,2842
2018,M12,2851
2018,M11,2850
2018,M10,2850
2018,M09,2838
2018,M08,2840
2018,M07,2841
2018,M06,2838
2018,M05,2841
2018,M04,2838
2018,M03,2826
2018,M02,2819
2018,M01,2817
2017,M12,2818
2017,M11,2815
2017,M10,2811
2017,M09,2816
2017,M08,2813
2017,M07,2809
2017,M06,2811
2017,M05,2801
2017,M04,2804
2017,M03,2813
2017,M02,2815
2017,M01,2821
2016,M12,2817
2016,M11,2812
2016,M10,2814
2016,M09,2817
2016,M08,2803
2016,M07,2799
2016,M06,2801
2016,M05,2751
2016,M04,2789
2016,M03,2785
2016,M02,2775
2016,M01,2762
2015,M12,2761
2015,M11,2751
2015,M10,2766
2015,M09,2764
2015,M08,2751
2015,M07,2752
2015,M06,2748
2015,M05,2747
2015,M04,2742
2015,M03,2737
2015,M02,2741
2015,M01,2740
2014,M12,2737
2014,M11,2735
2014,M10,2727
2014,M09,2734
2014,M08,2733
2014,M07,2725
2014,M06,2722
2014,M05,2717
2014,M04,2721
2014,M03,2725
2014,M02,2718
2014,M01,2724
2013,M12,2727
2013,M11,2722
2013,M10,2718
2013,M09,2708
2013,M08,2691
2013,M07,2720
2013,M06,2705
2013,M05,2710
2013,M04,2696
2013,M03,2700
2013,M02,2698
2013,M01,2662
2012,M12,2677
2012,M11,2674
2012,M10,2666
2012,M09,2670
2012,M08,2675
2012,M07,2679
2012,M06,2674
2012,M05,2685
2012,M04,2680
2012,M03,2678
2012,M02,2676
2012,M01,2665
2011,M12,2679
2011,M11,2676
2011,M10,2677
2011,M09,2676
2011,M08,2632
2011,M07,2675
2011,M06,2685
2011,M05,2679
2011,M04,2674
2011,M03,2672
2011,M02,2672
2011,M01,2678
