Total Nonfarm Employment,Date,Average Weekly Hours - All Employees,Average Hourly Earnings - All Employees,Construction Employment,Manufacturing Employment,"Trade, Transportation, and Utilities Employment",Information Employment,Financial Activities Employment,Professional and Business Services Employment,Education and Health Services Employment,Leisure and Hospitality Employment,Job Openings Level - All Industries,Total Separations Rate - All Industries,Unemployment Rate
149742,2021-12-01,34.8,31.42,7594,12584,28189,2973,22069,15258,5613,22056,,,3.9
149173,2021-11-01,34.8,31.24,7560,12540,28085,2955,21960,15108,5592,22038,,,4.2
148559,2021-10-01,34.7,31.14,7514,12496,28015,2934,21821,14931,5563,22037,,,4.5
147778,2021-09-01,34.8,30.96,7472,12437,27866,2917,21592,14765,5534,22074,,,4.8
147221,2021-08-01,34.7,30.78,7431,12395,27715,2902,21500,14565,5520,22100,,,5.2
146558,2021-07-01,34.8,30.66,7415,12349,27625,2866,21397,14339,5485,22037,,,5.4
145789,2021-06-01,34.8,30.53,7400,12276,27582,2837,21234,14055,5444,21999,,,5.9
145096,2021-05-01,34.9,30.38,7394,12259,27471,2820,21131,13782,5378,21930,,,5.8
144614,2021-04-01,34.9,30.2,7406,12228,27402,2792,21048,13558,5369,21929,,,6.1
144328,2021-03-01,34.9,30.05,7395,12270,27431,2770,21067,13352,5342,21876,,,6.1
143544,2021-02-01,34.6,30.05,7291,12222,27310,2765,20940,13207,5325,21793,,,6.2
142969,2021-01-01,35.0,29.92,7363,12196,27220,2749,20854,12835,5322,21781,,,6.3
142475,2020-12-01,34.8,29.92,7355,12199,27109,2715,20710,12780,5311,21671,,,6.7
142743,2020-11-01,34.8,29.64,7317,12159,27089,2702,20553,13289,5342,21681,,,6.7
142479,2020-10-01,34.8,29.54,7310,12125,26965,2695,20449,13271,5352,21767,,,6.9
141760,2020-09-01,34.8,29.52,7256,12101,26764,2698,20231,13029,5334,21919,,,7.9
140799,2020-08-01,34.7,29.48,7225,12044,26626,2642,20111,12542,5287,22011,,,8.4
139064,2020-07-01,34.6,29.39,7195,12018,26214,2617,19926,12261,5233,21509,,,10.2
137620,2020-06-01,34.6,29.37,7170,11977,25954,2622,19734,11754,5093,21407,,,11.0
133055,2020-05-01,34.7,29.72,7009,11646,24992,2610,19364,9945,4741,21396,,,13.2
130430,2020-04-01,34.2,30.01,6527,11414,24570,2640,19170,8710,4512,21927,,,14.7
150944,2020-03-01,34.1,28.8,7539,12720,27662,2899,21353,16198,5850,22841,,,4.4
152371,2020-02-01,34.4,28.55,7608,12785,27746,2908,21437,16945,5940,22871,,,3.5
